"","Provinces","Year","Dengue","Population_density","Humidity"
"277","Phitsanulok",2009,215.951303335892,78.1779228898615,73.6114496339763
"278","Phrae",2009,128.762795126491,70.6711132875886,75.938353812545
"279","Phuket",2009,233.393765647653,618.585576593731,72.9937231777922
"280","Prachin Buri",2009,210.672636807303,96.9800279777136,77.298457250826
"281","Prachuap Khiri Khan",2009,152.75868294241,79.1603456236396,76.2884593427507
"282","Ranong",2009,66.0233062270982,55.1096179706462,78.5918626503311
"283","Ratchaburi",2009,382.528905177131,160.730704852648,74.0492486678229
"284","Rayong",2009,343.083998398941,172.324042792793,76.8614360641968
"285","Roi Et",2009,105.185990388019,157.619981760235,73.9775745295991
"286","Sa Kaeo",2009,148.953546034573,75.391326754261,76.5676128509076
"287","Sakon Nakhon",2009,19.4912776532502,116.435194535281,75.0245882876806
"288","Samut Prakan",2009,271.710885186474,1159.36089521677,79.0638751995785
"289","Samut Sakhon",2009,314.06957404572,555.519764497385,71.6055801290753
"290","Samut Songkhram",2009,85.2065872437993,464.707816283384,70.7873416056435
"291","Saraburi",2009,127.303915248234,171.315363739715,72.8407560651858
"292","Satun",2009,168.542584296881,118.234658893568,72.7692384651429
"293","Si Sa Ket",2009,117.330235870418,163.614131984069,76.4991204216148
"294","Sing Buri",2009,68.2771401632149,261.76870384375,78.3749776805762
"295","Songkhla",2009,183.265201041107,181.765509328041,80.5482423921457
"296","Sukhothai",2009,91.2389082518128,91.3894166424604,81.4002402192865
"297","Suphan Buri",2009,127.399093051066,157.631343588886,81.5269589566473
"298","Surat Thani",2009,107.722528492156,77.1223977655301,80.1994246080483
"299","Surin",2009,88.4726456949965,169.598412418624,80.7609060271915
"300","Tak",2009,208.981992141046,31.6738639515075,82.7618147040258
"301","Trang",2009,94.556915989817,125.8103934118,82.3589296285519
"302","Trat",2009,196.356496127414,78.0446967009578,80.8515907501624
"303","Ubon Ratchathani",2009,39.3623520724001,114.561523291743,81.4889166571115
"304","Udon Thani",2009,17.8044628120654,131.193553243557,81.1251218662467
"305","Uthai Thani",2009,159.513955183594,48.7160499036737,80.7968219737633
"306","Uttaradit",2009,272.599043959296,59.0604792289227,80.2408252481504
"307","Yala",2009,93.0602455791179,106.243245526841,81.8139303250501
"308","Yasothon",2009,22.8143652598426,129.547700150709,83.2240695580978
"309","Amnat Charoen",2010,64.223659566235,117.71838210732,74.3923820486545
"310","Ang Thong",2010,54.7426044846826,294.277405790337,74.7325222373322
"311","Bangkok",2010,138.089035769147,3634.38485864743,72.9035953684685
"312","Bungkan",2010,NA,0,74.0884856918071
"313","Buri Ram",2010,84.8905722551351,150.5165464887,72.114724881869
"314","Chachoengsao",2010,110.248348129562,125.945243879649,70.5110412601448
"315","Chai Nat",2010,38.5150507264118,135.614755525467,71.2741624350213
"316","Chaiyaphum",2010,37.696587704881,88.2295882069326,69.9274447270708
"317","Chanthaburi",2010,105.321249242153,81.1953297570211,69.8558383710673
"318","Chiang Mai",2010,109.175429859206,81.5872258182786,73.6721316634745
"319","Chiang Rai",2010,86.6286435356504,102.601484847756,77.0818352704526
"320","Chon Buri",2010,136.367814764646,301.69447627779,79.4234189728906
"321","Chumphon",2010,136.540643802402,81.5382505731395,81.2480977620834
"322","Kalasin",2010,NA,141.444353946438,82.5599237095696
"323","Kamphaeng Phet",2010,51.025109580205,84.4721283440353,76.4435361134257
"324","Kanchanaburi",2010,97.4069275616355,43.1026854592492,77.9911227912135
"325","Khon Kaen",2010,49.3324002419098,162.373917082974,77.5694627886341
"326","Krabi",2010,201.98565300991,91.8982472594314,75.8367226855381
"327","Lampang",2010,62.2088879964407,60.7907588032227,73.758591730216
"328","Lamphun",2010,38.560411311054,89.7848634296238,71.5875620005731
"329","Loei",2010,54.481417029609,54.6246997272205,72.5078029807234
"330","Lop Buri",2010,48.9512524905603,121.916792491572,73.5331582789756
"331","Mae Hong Son",2010,248.823854133195,19.1417902591533,74.5439447521516
"332","Maha Sarakham",2010,34.6472726963549,177.809403926879,72.7479956503745
"333","Mukdahan",2010,135.463446955754,78.246152499061,74.8688020864378
"334","Nakhon Nayok",2010,22.5533564933883,119.101790763431,73.8327789149501
"335","Nakhon Pathom",2010,132.171495130463,396.732596144401,76.8041449806907
"336","Nakhon Phanom",2010,39.0962649560985,127.595567155504,72.8404665306274
"337","Nakhon Ratchasima",2010,68.2780492849007,125.99265813095,71.0710495159835
"338","Nakhon Sawan",2010,94.4578223466341,111.849461072716,72.5869716721275
"339","Nakhon Si Thammarat",2010,87.8782524969443,153.13660485057,75.4309642120272
"340","Nan",2010,27.2901127921354,41.5237107995835,74.9021686542602
"341","Narathiwat",2010,61.3162371364775,164.713111365835,69.7918670162703
"342","Nong Bua Lam Phu",2010,25.2551365368248,130.307539142688,71.3129190363974
"343","Nong Khai",2010,41.1857554245255,301.644389258472,71.9571303414975
"344","Nonthaburi",2010,128.614386476701,1770.42855329317,73.7537848584619
"345","P.Nakhon S.Ayutthaya",2010,65.3372476013175,305.907753927029,76.0019960864155
"346","Pathum Thani",2010,61.07688077732,645.960693538578,74.837023778814
"347","Pattani",2010,109.117158253454,337.700401369646,72.7253737102836
"348","Phangnga",2010,265.890198805272,60.6852965610498,70.4670540262816
"349","Phatthalung",2010,142.679389402866,148.791945505192,71.8403819288725
"350","Phayao",2010,121.11765480029,76.5223302376374,74.3971070513313
"351","Phetchabun",2010,69.375350767195,78.6231680424767,73.3213398618364
"352","Phetchaburi",2010,126.06862011969,74.5418013223161,73.5621022107048
"353","Phichit",2010,95.1708914581411,121.979345457627,70.7466207605878
"354","Phitsanulok",2010,86.7373118730081,78.5598622170751,71.8153093420024
"355","Phrae",2010,146.93243278438,70.467094016179,72.6109631279946
"356","Phuket",2010,89.547826943753,635.442716294007,71.2443755846824
"357","Prachin Buri",2010,118.309714256321,97.9707128521519,75.8089449220086
"358","Prachuap Khiri Khan",2010,111.758397592775,79.9567185227762,74.0744331479244
"359","Ranong",2010,95.0409386112006,55.5113711304727,76.2878148902454
"360","Ratchaburi",2010,188.660131692638,161.470438925561,71.3732388326857
"361","Rayong",2010,152.298364309182,176.351914414414,74.904124722618
"362","Roi Et",2010,58.8680835728269,157.806620656383,71.7131685287285
"363","Sa Kaeo",2010,74.0672670464988,75.6205092939149,75.521156907792
"364","Sakon Nakhon",2010,32.3268664757927,116.899082675777,75.0064159670776
"365","Samut Prakan",2010,172.294503788454,1180.35000776821,77.8627534656996
"366","Samut Sakhon",2010,115.473675864579,563.866213788779,71.3290848672801
"367","Samut Songkhram",2010,55.1384387061533,465.691721041403,71.6470803197336
"368","Saraburi",2010,52.6414678708875,172.623071920315,73.9983399861432
"369","Satun",2010,64.9475203844355,119.873238033269,73.5869242622788
"370","Si Sa Ket",2010,86.1290862261622,164.307120290824,76.0620411526596
"371","Sing Buri",2010,11.6462701655168,260.992999204842,78.7712359209364
"372","Songkhla",2010,149.076323687955,183.53305006337,80.7113127392503
"373","Sukhothai",2010,56.3330663467259,91.2325055502561,81.7368743539401
"374","Suphan Buri",2010,67.9789560796832,157.866505611787,82.3568549535761
"375","Surat Thani",2010,67.0743105390635,77.6003882877894,80.4898172769791
"376","Surin",2010,74.3978155411826,170.082653295349,80.5381930422764
"377","Tak",2010,181.097389306123,32.0409102406646,82.6638285891655
"378","Trang",2010,66.9708460007805,126.620558049699,82.3402008707467
"379","Trat",2010,88.71949701477,78.3685704150408,80.1520991561436
"380","Ubon Ratchathani",2010,39.1597098430964,115.154352057975,81.4146183906361
"381","Udon Thani",2010,36.3804436342639,131.691920634268,81.4730920545516
"382","Uthai Thani",2010,23.1736284108684,48.7291252058246,80.7718969867959
"383","Uttaradit",2010,23.129234054879,59.017997109685,78.9416137750866
"384","Yala",2010,88.4320242931593,107.801723394288,80.0916022058261
