"","Year","Provinces","intermon","intermonH","premon","premonH","mon","monH","postmon","postmonH"
"X24.1",2007,"Yasothon",0.494423694707786,61.9225004866317,7.66448352506904,66.9404100801852,6.90730672521343,80.0011934641245,1.99760260456185,73.1948363845413
"X26.2",2008,"Amnat Charoen",1.68956348284944,66.459341356971,9.16926462497708,69.453440416943,15.843949903453,83.7656693339348,2.29231615624427,77.4076661695133
"X6.2",2008,"Ang Thong",31.5993903160553,59.7946724509308,24.6950859119802,66.8655745453831,25.7191712282353,73.9752886110461,17.5557482786589,75.2543473291113
"X1.2",2008,"Bangkok",9.8156031376515,68.5841080672384,11.5502971308092,72.4411673104112,18.5266532166496,76.6029693938774,24.6729778285149,76.563810987314
"X27.2",2008,"Bungkan",NA,69.7768739041415,NA,75.9895755975897,NA,87.0989865112305,NA,73.2628096355091
"X20.2",2008,"Buri Ram",2.39414112866362,63.1249070821336,6.27107598733889,69.172076468787,19.4597306411238,77.8439478477719,3.84669094068726,77.7814204824418
"X15.2",2008,"Chachoengsao",5.79018905909473,66.8025739992298,11.7591428581394,75.104346410779,32.0635950390369,81.8871253497359,14.7985823257093,78.4709303703861
"X9.2",2008,"Chai Nat",11.1222982591614,62.1413165698486,15.7017073122255,65.8025755054793,20.7948243992606,72.4825537149379,7.6024089201598,77.9545488050368
"X25.2",2008,"Chaiyaphum",1.80900200551919,68.0577656428019,5.83617587686321,74.8283181670678,10.6428740292544,82.7980358114846,2.97733845494798,79.1206563105349
"X13.2",2008,"Chanthaburi",6.8617524936081,70.8238592585021,26.7972756755065,82.427767097811,32.1273907277514,86.8781990282463,6.55261850459466,81.6091147914077
"X39.2",2008,"Chiang Mai",1.0571181009746,70.1319066439322,6.69709762489883,69.2528111992813,47.6249396648674,83.200903409079,19.9994119621598,80.9821846772749
"X46.2",2008,"Chiang Rai",0.138005728571558,72.3681089321225,3.34746801703526,68.7061127209012,12.5739267389887,82.5241028816161,8.49420009322698,79.4769749435396
"X11.2",2008,"Chon Buri",0.543826127589793,68.4797553596455,7.65101052789388,76.7669299412089,30.6105041137106,80.1178087983588,18.2228460208283,78.4524973501073
"X70.2",2008,"Chumphon",8.01005845600995,78.5152687303948,15.8553120762805,80.5270157113715,18.9136104185802,84.9723482903923,7.99599790053799,84.6325113194372
"X35.2",2008,"Kalasin",4.49738373793067,65.377887457343,7.75590467252424,69.9898509986062,16.5204657480393,81.8730098626238,9.63288883468205,75.4485655740654
"X50.2",2008,"Kamphaeng Phet",5.27524694768738,69.9468627828926,13.6204918235775,70.8525770473782,21.600173902037,81.6482562049517,8.04847244120488,81.6484665225848
"X57.2",2008,"Kanchanaburi",5.10663804395602,69.1601914089389,11.8387261530659,77.688365847396,15.7183087099828,84.6304763017309,13.1385862881154,81.059455956094
"X29.2",2008,"Khon Kaen",0.62506474459442,65.4264491168258,2.26983581142658,70.7110929533534,6.28460790288734,78.2681731418525,3.03590539778305,77.0686818527776
"X65.2",2008,"Krabi",12.4968962976323,75.1771719171455,25.0846313262502,82.2358841646873,21.5094852727426,83.9854412282075,15.2383274411801,86.1829042304052
"X41.2",2008,"Lampang",0.522510958502276,68.6636908118915,3.79333889689705,66.9144966583282,31.3604482941747,82.1255916871919,9.67955442656488,81.2654372816682
"X40.2",2008,"Lamphun",1.64672444191433,67.8358644859035,1.97680711057518,64.9091948984232,14.9496037737248,78.0486808502147,8.27787977553355,79.3380718824321
"X31.2",2008,"Loei",0.923969090041398,71.2807361143235,4.18827926157415,75.7269494361208,6.44350655626792,81.8588186056572,1.36924514320693,80.0038890825238
"X7.2",2008,"Lop Buri",9.63427153092907,60.4189693351769,16.2590418829384,67.8939144545739,22.7980043793376,78.9758659874627,13.3872002460064,76.2185220674637
"X47.2",2008,"Mae Hong Son",3.17088205003946,70.7539259070727,5.23747107330943,69.0015906743884,24.0854755279164,85.9871119245836,12.404536752575,82.7728362850072
"X33.2",2008,"Maha Sarakham",0.852905136363861,63.0995335296442,2.91061914548481,68.7024699817391,8.65199288673077,78.1020483679734,2.50242255800828,75.7662413265724
"X38.2",2008,"Mukdahan",2.96057454430237,68.7288104670059,3.61617451017362,72.3409472640586,6.13818156001515,84.9838013303453,3.69769973494888,77.6248061207758
"X17.2",2008,"Nakhon Nayok",10.2063641026105,68.4677558303537,11.5224309945447,74.5953389614051,11.0257744861592,83.9332290762295,4.56923987714705,79.5530779733152
"X59.2",2008,"Nakhon Pathom",9.82564157122155,64.2510560004387,12.2148019910127,69.3098111683392,44.4841947509237,74.5286297735798,26.4262543074795,73.4565984963747
"X37.2",2008,"Nakhon Phanom",0.438628004444354,69.276854259171,1.4747368070521,74.3924336389434,1.81963493128202,86.2133861059257,0.804012754382901,76.0881669015596
"X19.2",2008,"Nakhon Ratchasima",1.27074991840689,65.5233569371287,4.53727801691394,71.8111799059474,10.6561215140093,79.4806128808565,5.44473362029672,78.7669124211774
"X48.2",2008,"Nakhon Sawan",10.6835413271947,63.7551426638501,17.6784717846619,67.5813697850621,35.8618208390967,77.2922918344975,12.3966788085766,78.8854835046425
"X64.2",2008,"Nakhon Si Thammarat",5.89376558579416,79.9902898438723,8.83614166577096,81.523346589906,15.4797332540279,81.8281387805204,14.1773914786624,85.4264241205342
"X44.2",2008,"Nan",0.280230419758691,71.5566911269347,2.66322409909436,71.5166302393136,10.8806721416947,84.8489901361745,1.57690900604272,80.4286086871765
"X77.2",2008,"Narathiwat",8.40677820391453,84.3498124765062,5.76866816560473,82.9038214126985,11.6060109522286,83.0630743394503,9.61444694267455,87.1030094608276
"X28.2",2008,"Nong Bua Lam Phu",0.500651519350621,68.2930862105982,1.73017403554443,72.6911902655563,4.04261817920477,80.6918745473595,0.829801377115306,78.0654221117605
"X32.2",2008,"Nong Khai",0.881921620824323,68.9441268898192,1.21245522182419,73.9137549911227,3.25158445852852,84.6430754278388,0.496004408928079,75.9185647027834
