"","Provinces","intermon","premon","mon","postmon","intermonH","premonH","monH","postmonH"
"172","Krabi",31.6201254122618,71.411403638515,83.4288566780062,22.417172015974,75.6847236822971,82.4067344375215,84.4308676697892,84.6206052074694
"173","Lampang",5.24138097594116,9.18696658175285,42.2600462760631,6.69336136670565,68.9455588783132,67.1986151442016,81.8264966426294,79.262496161224
"174","Lamphun",NA,3.70773185683211,28.9203084832905,4.69646035198734,66.1503106308192,65.8215358836106,78.2758984105287,76.0094884663283
"175","Loei",0.802045511313863,10.5758044822182,31.2466950610993,10.0950860966629,69.805475578085,73.7634647659391,81.1585353597005,76.453092257851
"176","Lop Buri",13.2401482826643,10.4517539101467,20.3743050906657,8.59954435644979,62.4091137848134,70.9883963762803,79.1480560127748,75.771514831333
"177","Mae Hong Son",6.18854756110896,44.0797225037282,171.78732975752,26.3654414975571,68.4197506406198,67.8441971453004,85.7622788863144,80.1624652314486
"178","Maha Sarakham",0.425532087788811,4.99515894702049,24.4443948471216,4.78259899182813,63.2856400015078,69.1537273012358,76.8332406001003,71.8283514938557
"179","Mukdahan",3.83895660162548,20.0250312891114,84.2229257159685,26.7982036368991,66.5791979250701,72.3026065181419,84.563477937726,73.1678788005442
"180","Nakhon Nayok",4.35570670184661,3.1653833674931,9.10047718154265,5.93509381404955,67.6770240356516,76.245912731714,82.8402222831732,77.464456881929
"181","Nakhon Pathom",27.9296630482444,14.2982356209735,63.0052333867289,32.7813206919881,61.837429004504,69.9438494045143,74.0909385265427,73.8403880843517
"182","Nakhon Phanom",NA,4.9758882671398,25.732450752923,7.39274828260771,65.7828423638694,72.9407841410614,85.086377592426,71.607597057056
"183","Nakhon Ratchasima",2.20832803523618,14.8716794812262,37.3728403629774,11.3861296028138,64.6432389275479,73.698280350041,78.1245080050179,75.2005333301186
"184","Nakhon Sawan",9.31694586662122,20.5869612806767,45.0863767413914,17.2334291263583,66.0450136408183,69.0140982043374,78.0775729957634,77.6127211347002
"185","Nakhon Si Thammarat",27.8215194496322,26.6655982913,30.0808965946192,9.72046440175468,79.8762419376853,81.2431549558165,78.9368894794505,83.4058381331903
