"","row_number","Reporting_Area","Longitude","Latitude","Month","Year","Dengue_Cases","Relative_Humidity"
"304",304,"Ang Thong",100.34851,14.623542,4,2016,7,58.325784163731
"305",305,"Ang Thong",100.34851,14.623542,5,2016,1,62.5815007492278
"306",306,"Ang Thong",100.34851,14.623542,6,2016,3,70.1635113786277
"307",307,"Ang Thong",100.34851,14.623542,7,2016,9,76.4127580707163
"308",308,"Ang Thong",100.34851,14.623542,8,2016,24,70.3892961050834
"309",309,"Ang Thong",100.34851,14.623542,9,2016,40,78.9224545002932
"310",310,"Ang Thong",100.34851,14.623542,10,2016,18,80.230233952729
"311",311,"Ang Thong",100.34851,14.623542,11,2016,2,68.8873490775319
"312",312,"Ang Thong",100.34851,14.623542,12,2016,2,57.3549074586296
"313",313,"Ang Thong",100.34851,14.623542,1,2017,9,63.6083232052995
"314",314,"Ang Thong",100.34851,14.623542,2,2017,5,53.989733618249
"315",315,"Ang Thong",100.34851,14.623542,3,2017,2,64.4673430668431
"316",316,"Ang Thong",100.34851,14.623542,4,2017,3,61.3556194874212
"317",317,"Ang Thong",100.34851,14.623542,5,2017,11,77.5680920428358
"318",318,"Ang Thong",100.34851,14.623542,6,2017,21,71.6487244744424
"319",319,"Ang Thong",100.34851,14.623542,7,2017,52,77.521048088908
"320",320,"Ang Thong",100.34851,14.623542,8,2017,43,75.7667315655627
"321",321,"Ang Thong",100.34851,14.623542,9,2017,46,77.5491846740601
"322",322,"Ang Thong",100.34851,14.623542,10,2017,42,79.7810628295656
"323",323,"Ang Thong",100.34851,14.623542,11,2017,19,70.9584826095915
"324",324,"Ang Thong",100.34851,14.623542,12,2017,14,63.2029037399747
"325",325,"Ang Thong",100.34851,14.623542,1,2018,6,67.5815874861913
"326",326,"Ang Thong",100.34851,14.623542,2,2018,2,67.1426321223052
"327",327,"Ang Thong",100.34851,14.623542,3,2018,11,66.9902281410415
"328",328,"Ang Thong",100.34851,14.623542,4,2018,17,70.6487533842356
"329",329,"Ang Thong",100.34851,14.623542,5,2018,24,75.6594348702706
"330",330,"Ang Thong",100.34851,14.623542,6,2018,23,72.6327972715465
"331",331,"Ang Thong",100.34851,14.623542,7,2018,30,72.8517113717839
"332",332,"Ang Thong",100.34851,14.623542,8,2018,22,73.3014140498804
"333",333,"Ang Thong",100.34851,14.623542,9,2018,40,75.9285249349848
"334",334,"Ang Thong",100.34851,14.623542,10,2018,31,74.0245754325366
"335",335,"Ang Thong",100.34851,14.623542,11,2018,32,65.4859153793062
"336",336,"Ang Thong",100.34851,14.623542,12,2018,21,61.1022644042969
"337",337,"Ang Thong",100.34851,14.623542,1,2019,30,58.9001136233745
"338",338,"Ang Thong",100.34851,14.623542,2,2019,20,66.2124208787801
"339",339,"Ang Thong",100.34851,14.623542,3,2019,24,61.3190689769464
"340",340,"Ang Thong",100.34851,14.623542,4,2019,11,64.2351801058881
"341",341,"Ang Thong",100.34851,14.623542,5,2019,20,66.7167513413173
"342",342,"Ang Thong",100.34851,14.623542,6,2019,27,72.0123285251868
"343",343,"Ang Thong",100.34851,14.623542,7,2019,42,65.8983506947815
"344",344,"Ang Thong",100.34851,14.623542,8,2019,29,76.2425547878501
"345",345,"Ang Thong",100.34851,14.623542,9,2019,18,75.6969574915012
"346",346,"Ang Thong",100.34851,14.623542,10,2019,26,67.6867269133005
"347",347,"Ang Thong",100.34851,14.623542,11,2019,18,56.4990775409797
"348",348,"Ang Thong",100.34851,14.623542,12,2019,11,53.9452560000107
"349",349,"Ang Thong",100.34851,14.623542,1,2020,30,59.6706916702908
"350",350,"Ang Thong",100.34851,14.623542,2,2020,20,55.1515139282105
"351",351,"Ang Thong",100.34851,14.623542,3,2020,24,63.6133399189822
"352",352,"Ang Thong",100.34851,14.623542,4,2020,11,61.6231826797394
"353",353,"Ang Thong",100.34851,14.623542,5,2020,20,65.5252736662302
